model,months,gamma,dPnL,t,yrs_up,n,n_base,side_switch
mkt_trend50_200,12,3.0,-10747,-1.04,2,3613,3318,1983
mkt_xq5z,12,1.0,-6239,-1.32,0,3429,3318,792
mkt_xq5z,12,3.0,-8728,-1.22,1,3528,3318,1428
mkt_xi5z,12,1.0,-3920,-0.91,1,3433,3318,806
mkt_xi5z,12,3.0,-2109,-0.33,1,3547,3318,1440
mkt_spy_gapz,12,1.0,1238,0.34,2,3381,3318,643
mkt_spy_gapz,12,3.0,-1599,-0.27,2,3498,3318,1208
mkt_spy_ret1z,12,1.0,55,0.02,2,3385,3318,569
mkt_spy_ret1z,12,3.0,989,0.23,1,3452,3318,1053
mkt_spy_dsma20,12,1.0,-2910,-0.47,2,3514,3318,1091
mkt_spy_dsma20,12,3.0,632,0.08,2,3641,3318,1726
