rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
xs20z_s hi 30%,xs20z_s,all,hi,0.3,0.5500010675786545,2428,-1.3887141788096737,-5959.144999999953,0,0,1.0
rsi2c_s lo 5%,rsi2c_s,all,lo,0.05,-44.613049708291015,405,-0.14108700508951647,-249.15000000000146,2,4,1.0
rsi2c_s lo 10%,rsi2c_s,all,lo,0.1,-39.87276066429467,810,0.3227350370110143,775.8150000000096,4,4,1.0
rsi2c_s lo 15%,rsi2c_s,all,lo,0.15,-34.697208698152274,1214,0.3321559714799138,969.1950000000143,4,4,1.0
rsi2c_s lo 20%,rsi2c_s,all,lo,0.2,-29.979532304627988,1619,0.7242220847713852,2407.665000000008,4,4,1.0
rsi2c_s lo 25%,rsi2c_s,all,lo,0.25,-24.499226479496294,2023,0.3363822720026304,1271.250000000029,4,4,1.0
rsi2c_s lo 30%,rsi2c_s,all,lo,0.3,-18.707422442624402,2428,-0.42887663254218483,-1803.204999999958,2,4,1.0
rsi2c_s hi 5%,rsi2c_s,all,hi,0.05,47.40808945892424,405,-0.3428999520707499,-518.7999999999956,3,1,1.0
rsi2c_s hi 10%,rsi2c_s,all,hi,0.1,44.36096788976969,810,-0.4544988323998207,-1080.8550000000178,3,1,1.0
rsi2c_s hi 15%,rsi2c_s,all,hi,0.15,40.54172673460687,1214,-0.29836009154336135,-937.2900000000081,3,1,1.0
rsi2c_s hi 20%,rsi2c_s,all,hi,0.2,36.202307196831455,1619,0.11030453341515084,368.0350000000035,4,1,1.0
rsi2c_s hi 25%,rsi2c_s,all,hi,0.25,32.14067044250548,2023,-1.0489924346526915,-3888.220000000001,1,1,1.0
rsi2c_s hi 30%,rsi2c_s,all,hi,0.3,27.37104995793412,2428,-1.0354307512951064,-4450.099999999995,0,1,1.0
rsi14c_s lo 5%,rsi14c_s,all,lo,0.05,-14.129083056058008,405,0.1920095561134143,277.76000000000204,3,3,1.0
rsi14c_s lo 10%,rsi14c_s,all,lo,0.1,-9.893880171345653,810,0.3053014539130569,765.0250000000087,2,3,1.0
rsi14c_s lo 15%,rsi14c_s,all,lo,0.15,-7.247890676687182,1214,-0.570182824575724,-1808.954999999998,2,3,1.0
rsi14c_s lo 20%,rsi14c_s,all,lo,0.2,-5.011136491780773,1619,0.06874001087957175,241.2599999999984,3,3,1.0
rsi14c_s lo 25%,rsi14c_s,all,lo,0.25,-2.8988837818704223,2023,-0.800160209133383,-3174.6349999999875,2,3,1.0
