ground,bull_cut,bear_cut,is_n,is_pnl,is_full_win,is_profitable,is_yield_pct,is_weekly_sharpe,is_max_dd,is_calmar,oot_n,oot_pnl,oot_full_win,oot_profitable,oot_yield_pct,oot_weekly_sharpe,oot_max_dd,oot_calmar
0.005,0.35000000000000003,0.1,4695.0,34650.825,45.17571884984026,53.71671991480298,9.856450264469427,2.459340709649099,-20.67315706705092,2.1711128011743672,482.0,-977.109999999999,37.96680497925311,46.2655601659751,-2.5504419050204343,-0.917891030129795,-17.72805597992273,-1.4971950201456494
0.005,0.35000000000000003,0.15000000000000002,4634.0,34831.79499999999,45.29564091497627,53.84117393180837,9.992654070795465,2.461653038752327,-22.662197967756704,1.9869669844574893,476.0,-1215.8700000000001,37.81512605042017,46.008403361344534,-3.2307341565500574,-1.1393288776857338,-20.75784333275472,-1.5522242277760232
0.005,0.35000000000000003,0.2,4556.0,33994.34,45.4126426690079,53.906935908691835,9.893188738349629,2.4114391419845935,-22.688918445856,1.9571292906645976,461.0,-1097.8500000000008,37.744034707158356,46.20390455531454,-3.017649891591648,-1.0879822940641437,-19.055292781023603,-1.5456071730506928
0.005,0.35000000000000003,0.25,4512.0,33690.50499999999,45.45656028368794,53.945035460992905,9.87344218671926,2.387611682964549,-23.27985929650225,1.89902757332675,444.0,-802.8350000000039,38.288288288288285,46.846846846846844,-2.2867860122475117,-0.805174624865301,-16.955188455421922,-1.3095203393293753
0.005,0.35000000000000003,0.30000000000000004,4418.0,32824.14499999999,45.495699411498414,53.9610683567225,9.828590015581225,2.3489957761436706,-24.27964197353981,1.7955832081949745,438.0,-774.1150000000036,38.12785388127854,46.80365296803653,-2.2446801878408125,-0.789690291353356,-16.4700223062377,-1.3175717753615683
0.005,0.35000000000000003,0.35000000000000003,4337.0,32886.579999999994,45.630620244408576,54.06963338713396,10.02308413996972,2.371223032535813,-25.664471912996667,1.7027270430871364,419.0,-786.2000000000044,38.18615751789976,47.01670644391408,-2.3979988818285682,-0.852338932028784,-17.28582194075208,-1.2733801613058424
0.005,0.35000000000000003,0.4,4219.0,31490.84999999999,45.484712017065654,53.85162360748993,9.852940771563619,2.30449892468581,-26.933125841430783,1.5843225797035079,408.0,-823.0150000000035,38.23529411764706,46.81372549019608,-2.586273267000677,-0.9162060802621476,-17.74951786275857,-1.2932004630168814
0.005,0.35000000000000003,0.45,4091.0,31584.304999999993,45.63676362747495,53.996577853825464,10.115165219335136,2.3206228461928524,-26.586373209868018,1.6194469129328513,387.0,-1148.2800000000027,37.98449612403101,46.253229974160206,-3.7774766621696796,-1.3114793147629604,-22.625406635401045,-1.3678984844759745
0.005,0.35000000000000003,0.5,3871.0,32265.96999999999,46.06044949625419,54.352880392663394,10.7128380032853,2.3687927172748258,-25.347757627651635,1.7278433993959783,381.0,-1120.5350000000035,38.320209973753286,46.194225721784775,-3.7268691053365686,-1.2854575090933404,-22.076254885453217,-1.372064039729293
0.005,0.4,0.0,4577.0,32617.365000000005,44.789163207341055,53.244483285995194,9.595681171005381,2.367778507435538,-16.675527532232927,2.5979050479853476,468.0,-223.469999999996,38.675213675213676,46.58119658119658,-0.596668460917364,-0.19221167279959028,-12.631195123080285,-0.5189848938838061
0.005,0.4,0.05,4550.0,32927.07000000001,44.83516483516484,53.340659340659336,9.709185063567947,2.3933587681826527,-16.610429208599797,2.6236119865108813,465.0,-412.8599999999962,38.27956989247312,46.236559139784944,-1.108460583280186,-0.3562145589721045,-12.936963381384537,-0.9184131429580126
0.005,0.4,0.1,4514.0,32505.795000000006,44.882587505538325,53.32299512627382,9.630474359700221,2.3579927812628623,-18.015076740609693,2.4023736825122413,458.0,-542.3499999999952,38.209606986899566,46.288209606986904,-1.4748765180132781,-0.47740447976450456,-13.01761263714506,-1.1833216071039088
0.005,0.4,0.15000000000000002,4453.0,32686.765000000007,45.003368515607455,53.44711430496295,9.770374375089244,2.360617499069438,-20.082007421067395,2.1626476321873063,452.0,-781.1099999999956,38.05309734513274,46.017699115044245,-2.1640003712358573,-0.6969036036142069,-15.520791261310961,-1.3949391641724402
0.005,0.4,0.2,4375.0,31849.310000000005,45.12,53.50857142857143,9.663331344393605,2.3123232892506107,-19.841192531435215,2.1584468572657367,437.0,-663.0899999999972,37.986270022883296,46.224256292906176,-1.9031270476288251,-0.61829275176892,-14.449738440262138,-1.2874136322454144
