stack,rule,full_win_IS,full_win_OOT,n_IS,n_OOT,pnl_IS,pnl_OOT,profitable_IS,profitable_OOT,d_pnl_IS,d_pnl_OOT,d_fw_IS,d_fw_OOT,d_prof_IS,d_prof_OOT
stack_equal_all,tilt0.5,0.44025433019074767,0.42495784148397975,4561.0,593.0,31729.904999999962,3538.9449999999915,0.531462398596799,0.5177065767284992,-726.2850000000035,-1052.3900000000003,-0.0004385003288752132,0.0,-0.00021925016443757883,-0.00843170320404718
stack_equal_all,veto0.02,0.44022222222222224,0.4222972972972973,4500.0,592.0,31647.424999999967,3944.4499999999925,0.5311111111111111,0.5219594594594594,-808.7649999999994,-646.8849999999993,-0.00047060829740064314,-0.002660544186682434,-0.0005705376501254911,-0.0041788204730869305
stack_equal_all,veto0.05,0.4437923250564334,0.41935483870967744,4430.0,589.0,32748.33499999997,3479.799999999993,0.5334085778781038,0.5161290322580645,292.1450000000041,-1111.534999999999,0.003099494536810521,-0.0056030027743023125,0.0017269291168672263,-0.010009247674481858
stack_equal_all,veto0.075,0.4444444444444444,0.4180887372013652,4365.0,586.0,32701.954999999987,3312.2499999999936,0.5349369988545246,0.515358361774744,245.76500000002125,-1279.0849999999982,0.0037516139248215397,-0.006869104282614558,0.003255350093288034,-0.010779918157802326
stack_equal_all,veto0.1,0.44421199442119946,0.4219554030874786,4302.0,583.0,29183.559999999983,3250.469999999993,0.5304509530450953,0.5077186963979416,-3272.629999999983,-1340.8649999999989,0.003519163901576583,-0.0030024383965011614,-0.0012306957161413168,-0.01841958353460471
stack_equal_all,veto0.125,0.4468786808009423,0.4185639229422067,4245.0,571.0,30243.509999999987,2197.9099999999944,0.5316843345111897,0.4956217162872154,-2212.6799999999785,-2393.4249999999975,0.006185850281319405,-0.006393918541773069,2.6857499531018902e-06,-0.030516563645330952
stack_equal_all,veto0.15,0.4513422818791946,0.4204946996466431,4172.0,566.0,30518.295,1824.204999999995,0.5330776605944392,0.49469964664310956,-1937.8949999999677,-2767.129999999997,0.010649451359571738,-0.004463141837336648,0.0013960118332025928,-0.0314386332894368
stack_equal_all,veto0.175,0.45215485756026297,0.4203935599284436,4107.0,559.0,29628.689999999988,2140.7199999999957,0.5329924519113708,0.49552772808586765,-2827.499999999978,-2450.614999999996,0.011462027040640088,-0.0045642815555361205,0.00131080315013421,-0.030610551846678713
stack_equal_all,veto0.2,0.4561054464063666,0.4223826714801444,4021.0,554.0,30099.14999999998,2620.949999999997,0.5371798060184034,0.4963898916967509,-2357.0399999999863,-1970.3849999999948,0.015412615886743697,-0.0025751700038353365,0.005498157257166847,-0.029748388235795453
stack_equal_all,veto0.25,0.4581293481061582,0.42413162705667273,3881.0,547.0,31224.539999999986,2259.0749999999957,0.540324658593146,0.4954296160877514,-1231.6499999999796,-2332.259999999996,0.017436517586535305,-0.0008262144273070149,0.008643009831909465,-0.03070866384479498
stack_equal_all,veto0.3,0.459983831851253,0.424812030075188,3711.0,532.0,29144.079999999994,1891.574999999997,0.5392077607113985,0.49624060150375937,-3312.1099999999715,-2699.7599999999948,0.019291001331630142,-0.0001458114087917739,0.007526111950161951,-0.02989767842878699
stack_equal_all,veto0.35,0.46190744920993226,0.4260355029585799,3544.0,507.0,30976.894999999997,2312.379999999992,0.5440180586907449,0.5009861932938856,-1479.2949999999691,-2278.955,0.021214618690309384,0.0010776614746001445,0.012336409929508352,-0.025152086638660753
stack_equal_all,veto0.4,0.45803571428571427,0.4261954261954262,3360.0,481.0,28285.405,1630.23,0.5401785714285714,0.4968814968814969,-4170.784999999967,-2961.104999999992,0.017342883766091388,0.001237584711446471,0.008496922667334816,-0.02925678305104945
stack_equal_all,veto0.5,0.4554901281607205,0.40714285714285714,2887.0,420.0,21191.360000000004,-434.21500000000174,0.5310010391409767,0.4785714285714286,-11264.829999999962,-5025.549999999994,0.014797297641097606,-0.01781498434112261,-0.0006806096202598422,-0.04756685136111777
stack_equal_core,tilt0.01,0.44047358035518525,0.4266441821247892,4561.0,593.0,32475.939999999973,4761.804999999992,0.5319008989256742,0.5278246205733558,19.750000000007276,170.47000000000025,-0.00021925016443763434,0.0016863406408094694,0.00021925016443757883,0.001686340640809414
stack_equal_core,tilt0.02,0.44003508002631003,0.4266441821247892,4561.0,593.0,32295.30999999997,4761.804999999992,0.5316816487612366,0.5278246205733558,-160.87999999999738,170.47000000000025,-0.0006577504933128475,0.0016863406408094694,0.0,0.001686340640809414
stack_equal_core,tilt0.03,0.43937732953299713,0.4266441821247892,4561.0,593.0,31507.65999999997,4761.804999999992,0.5310238982679237,0.5278246205733558,-948.5299999999952,170.47000000000025,-0.0013155009866257505,0.0016863406408094694,-0.0006577504933128475,0.001686340640809414
stack_equal_core,tilt0.05,0.43915807936855955,0.42495784148397975,4561.0,593.0,31078.999999999978,4410.319999999992,0.530804648103486,0.5261382799325464,-1377.1899999999878,-181.01499999999942,-0.0015347511510633294,0.0,-0.0008770006577505374,0.0
stack_equal_core,tilt0.075,0.44003508002631003,0.42327150084317033,4561.0,593.0,31690.56999999997,4141.599999999993,0.531462398596799,0.524451939291737,-765.6199999999953,-449.73499999999876,-0.0006577504933128475,-0.001686340640809414,-0.00021925016443757883,-0.001686340640809414
stack_equal_core,tilt0.1,0.44113133084849815,0.42327150084317033,4561.0,593.0,32235.369999999966,4131.2399999999925,0.5323393992545494,0.524451939291737,-220.8199999999997,-460.09499999999935,0.0004385003288752687,-0.001686340640809414,0.0006577504933128475,-0.001686340640809414
stack_equal_core,tilt0.15,0.441789081341811,0.42327150084317033,4561.0,593.0,32661.759999999966,4020.044999999993,0.5325586494189871,0.5227655986509275,205.5699999999997,-571.289999999999,0.0010962508221881162,-0.001686340640809414,0.0008770006577505374,-0.003372681281618828
